,job_title,mean_pay,salary_range,company,category
1323,Test Engineer,"$125,631/yr",Range: $102K - $151K,apple,engineering
1324,Physical Design Engineer,"$137,168/yr",Range: $101K - $177K,apple,engineering
1325,Software Engineer II,"$119,920/yr",Range: $103K - $166K,apple,engineering
1326,Data Scientist,"$137,560/yr",Range: $102K - $189K,apple,engineering
1327,ASIC Design Engineer,"$143,295/yr",Range: $112K - $193K,apple,engineering
1328,Applecare At Home Advisor,"$38,121/yr",Range: $30K - $50K,apple,others
1329,Senior Advisor,"$46,673/yr",Range: $39K - $65K,apple,others
1330,Business Systems Analyst,"$115,427/yr",Range: $68K - $157K,apple,others
1331,Career Counselor,"$38,534/yr",Range: $37K - $44K,apple,others
1332,Verification Engineer,"$118,916/yr",Range: $98K - $172K,apple,engineering
1333,Family Room Specialist,"$35,325/yr",Range: $31K - $41K,apple,others
1334,Retail Sales Consultant,"$40,905/yr",Range: $39K - $44K,apple,sales
1335,Senior Software QA Engineer,"$135,772/yr",Range: $101K - $150K,apple,engineering
1336,Apple Store Leader Program Associate,"$53,676/yr",Range: $47K - $62K,apple,others
1337,Software Engineer - Applications III,"$129,580/yr",Range: $121K - $152K,apple,engineering
1338,Business Analyst,"$93,687/yr",Range: $56K - $135K,apple,others
1339,Senior Project Manager,"$147,260/yr",Range: $113K - $172K,apple,managerial
1340,Mechanical Engineer,"$132,353/yr",Range: $83K - $230K,apple,engineering
1341,WW Supply Demand Planner,"$138,191/yr",Range: $109K - $146K,apple,others
1342,Software QA Engineer III,"$118,755/yr",Range: $100K - $151K,apple,engineering
1343,Product Manager,"$140,547/yr",Range: $106K - $176K,apple,managerial
1344,Senior Systems Engineer,"$138,335/yr",Range: $77K - $189K,apple,engineering
1345,Sales Specialist,"$36,717/yr",Range: $25K - $56K,apple,sales
1346,Hardware Development Engineer,"$145,209/yr",Range: $111K - $176K,apple,engineering
1347,Industrial Engineer,"$110,391/yr",Range: $87K - $154K,apple,engineering
1348,Electrical Engineer,"$131,478/yr",Range: $94K - $166K,apple,engineering
1349,Localization Engineer,"$109,211/yr",Range: $95K - $152K,apple,engineering
1350,Engineering Project Manager IV,"$149,417/yr",Range: $131K - $167K,apple,engineering
1351,Senior Engineering Project Manager,"$160,889/yr",Range: $135K - $192K,apple,engineering
1352,Senior Product Manager,"$180,326/yr",Range: $163K - $216K,apple,managerial
1353,Software Applications Engineer IV,"$142,147/yr",Range: $134K - $163K,apple,engineering
1354,Systems Design Engineer,"$119,536/yr",Range: $99K - $157K,apple,engineering
1355,Senior Engineering Program Manager,"$170,583/yr",Range: $154K - $203K,apple,engineering
1356,Data Analyst,"$99,186/yr",Range: $39K - $150K,apple,others
1357,Admissions Representative,"$44,987/yr",Range: $43K - $50K,apple,others
1358,Engineering Project Manager III,"$134,661/yr",Range: $100K - $166K,apple,engineering
1359,Software Engineer V,"$192,043/yr",Range: $159K - $220K,apple,engineering
1360,Supplier Quality Engineer,"$122,194/yr",Range: $109K - $141K,apple,engineering
1361,Technical Program Manager III,"$146,838/yr",Range: $108K - $160K,apple,managerial
1362,Senior Program Manager,"$157,198/yr",Range: $125K - $198K,apple,managerial
1363,Apple Family Room Specialist,"$35,656/yr",Range: $29K - $51K,apple,others
1364,Retail Merchandiser,"$33,027/yr",Range: $31K - $40K,apple,others
1365,Operations Specialist,"$37,764/yr",Range: $33K - $49K,apple,others
1366,Technical Project Manager,"$143,051/yr",Range: $109K - $184K,apple,managerial
1367,Systems Software Engineer,"$144,421/yr",Range: $117K - $182K,apple,engineering
1368,Lead Mac Genius,"$58,866/yr",Range: $49K - $77K,apple,others
1369,Senior Engineering Manager,"$229,012/yr",Range: $210K - $255K,apple,engineering
1370,Ios Software Engineer,"$130,242/yr",Range: $97K - $164K,apple,engineering
1371,Senior Technical Advisor,"$45,648/yr",Range: $40K - $57K,apple,others
1372,Lead,"$61,305/yr",Range: $50K - $69K,apple,others
1373,Information Systems Engineer,"$159,949/yr",Range: $100K - $174K,apple,engineering
1374,Senior Network Engineer,"$150,739/yr",Range: $114K - $171K,apple,engineering
1375,Retail Store Manager,"$74,546/yr",Range: $52K - $130K,apple,managerial
1376,Creative Trainer,"$44,082/yr",Range: $37K - $53K,apple,others
1377,Antenna Engineer,"$139,652/yr",Range: $134K - $164K,apple,engineering
1378,Senior Software Development Engineer,"$155,347/yr",Range: $98K - $194K,apple,engineering
1379,Hardware Engineer IV,"$166,415/yr",Range: $131K - $185K,apple,engineering
1380,Software Development Engineer I,"$140,018/yr",Range: $99K - $171K,apple,engineering
1381,Product Marketing Manager,"$147,513/yr",Range: $108K - $170K,apple,marketing
1382,Account Manager,"$80,890/yr",Range: $49K - $98K,apple,managerial
1383,Art Director,"$162,866/yr",Range: $120K - $170K,apple,others
1384,Materials Program Manager,"$126,605/yr",Range: $112K - $149K,apple,managerial
1385,Lead Creative,"$56,128/yr",Range: $49K - $153K,apple,others
1386,Software Develop Eng II,"$106,465/yr",Range: $102K - $113K,apple,engineering
1387,Database Administrator,"$136,300/yr",Range: $84K - $146K,apple,others
1388,Specialist,"$21,994/yr",Range: $11K - $35K,apple,others
1389,Lead Software Engineer,"$164,096/yr",Range: $94K - $184K,apple,engineering
1390,Sales Associate,"$43,753/yr",Range: $27K - $102K,apple,sales
1391,Senior Engineer,"$164,573/yr",Range: $140K - $215K,apple,engineering
1392,Instructional Designer,"$88,002/yr",Range: $57K - $120K,apple,others
1393,Store Leader,"$129,373/yr",Range: $95K - $156K,apple,others
1394,Systems Design Engineer IV,"$148,300/yr",Range: $124K - $162K,apple,engineering
1395,Reliability Engineer,"$123,375/yr",Range: $106K - $153K,apple,engineering
1396,Acoustic Engineer,"$151,620/yr",Range: $115K - $219K,apple,engineering
1397,Supply Demand Planner,"$113,146/yr",Range: $97K - $143K,apple,others
1398,UI Engineer,"$108,986/yr",Range: $100K - $143K,apple,engineering
1399,IOS Cellular Software Field Test Engineer,"$95,215/yr",Range: $89K - $136K,apple,engineering
1400,General Manager,"$114,874/yr",Range: $80K - $140K,apple,managerial
1401,Redzone Specialist,"$35,479/yr",Range: $24K - $41K,apple,others
1402,Tech Support T2,"$47,547/yr",Range: $43K - $58K,apple,others
1403,Embedded Software Engineer,"$129,384/yr",Range: $114K - $163K,apple,engineering
1404,Software QA Manager,"$149,246/yr",Range: $136K - $176K,apple,engineering
1405,Design Engineer,"$142,699/yr",Range: $98K - $160K,apple,engineering
1406,Web Developer,"$111,614/yr",Range: $68K - $136K,apple,engineering
1407,Electronic Design Engineer,"$139,483/yr",Range: $95K - $163K,apple,engineering
1408,Administrative Assistant,"$66,813/yr",Range: $42K - $74K,apple,others
1409,AppleCare Senior Technical Advisor,"$46,156/yr",Range: $38K - $54K,apple,others
1410,AppleCare Team Manager,"$73,015/yr",Range: $67K - $97K,apple,managerial
1411,Apple Retail Specialist,"$36,276/yr",Range: $32K - $39K,apple,others
1412,Visual Designer,"$105,327/yr",Range: $84K - $148K,apple,others
1413,Sales,"$49,382/yr",Range: $12K - $145K,apple,sales
1414,Systems Software Developer,"$119,414/yr",Range: $112K - $127K,apple,engineering
1415,Mechanical Engineer - Quality,"$131,622/yr",Range: $126K - $159K,apple,engineering
1416,Preservation and Operations Specialist,"$43,287/yr",Range: $34K - $53K,apple,others
1417,Global Sourcing Manager,"$139,195/yr",Range: $125K - $159K,apple,managerial
1418,Engineering Manager I,"$165,413/yr",Range: $146K - $190K,apple,engineering
1419,Design Verification Engineer,"$126,782/yr",Range: $112K - $138K,apple,engineering
1420,Manager II,"$150,936/yr",Range: $81K - $186K,apple,managerial
1421,Manufacturing Design Engineer,"$126,320/yr",Range: $98K - $170K,apple,engineering
1422,Technical Program Manager,"$140,643/yr",Range: $115K - $190K,apple,managerial
1423,Recruiter,"$109,813/yr",Range: $52K - $163K,apple,others
1424,Graphic Designer,"$107,189/yr",Range: $83K - $127K,apple,others
1425,Americas Supply Demand Planner,"$105,490/yr",Range: $78K - $135K,apple,others
1426,Sales Manager,"$78,355/yr",Range: $37K - $137K,apple,sales
1427,Systems Administrator,"$119,425/yr",Range: $85K - $141K,apple,others
1428,Software Developer,"$81,578/yr",Range: $65K - $136K,apple,engineering
1429,Senior Data Scientist,"$177,097/yr",Range: $150K - $211K,apple,engineering
1430,Product Specialist,"$43,000/yr",Range: $29K - $73K,apple,others
1431,IOS Software Developer,"$124,837/yr",Range: $124K - $172K,apple,engineering
1432,Director,"$269,528/yr",Range: $215K - $286K,apple,others
1433,Software Engineer I,"$108,717/yr",Range: $94K - $132K,apple,engineering
1434,Recruiting Coordinator,"$69,297/yr",Range: $51K - $81K,apple,others
1435,Customer Relations,"$50,750/yr",Range: $43K - $53K,apple,others
1436,Operations Manager,"$114,520/yr",Range: $77K - $146K,apple,managerial
1437,Senior Product Marketing Manager,"$163,512/yr",Range: $126K - $232K,apple,marketing
1438,Pro,"$52,044/yr",Range: $45K - $61K,apple,others
1439,Senior Account Executive,"$102,646/yr",Range: $55K - $194K,apple,others
1440,Senior Technical Support Advisor,"$46,586/yr",Range: $39K - $49K,apple,others
1441,Solutions Consultant,"$40,982/yr",Range: $34K - $96K,apple,others
1442,Site Reliability Engineer,"$123,724/yr",Range: $84K - $180K,apple,engineering
1443,User Interface Designer,"$123,827/yr",Range: $104K - $162K,apple,others
1444,Apple Business Specialist,"$47,318/yr",Range: $41K - $56K,apple,others
1445,Industrial Designer,"$198,908/yr",Range: $139K - $229K,apple,others
1446,Computer Engineer,"$100,361/yr",Range: $63K - $130K,apple,engineering
1447,Senior Product Design Engineer,"$160,373/yr",Range: $140K - $216K,apple,engineering
1448,Senior Process Engineer,"$167,120/yr",Range: $157K - $202K,apple,engineering
1449,Analyst,"$89,037/yr",Range: $54K - $128K,apple,others
1450,Technical Support Agent,"$41,669/yr",Range: $36K - $46K,apple,others
1451,Hardware Design Engineer,"$146,403/yr",Range: $134K - $153K,apple,engineering
1452,Machine Learning Engineer,"$146,579/yr",Range: $112K - $183K,apple,engineering
1453,Materials Manager,"$124,611/yr",Range: $117K - $223K,apple,managerial
1454,CAD Engineer,"$134,184/yr",Range: $110K - $184K,apple,engineering
1455,Executive Assistant,"$99,466/yr",Range: $58K - $117K,apple,others
1456,ASIC Design Engineer III,"$117,217/yr",Range: $101K - $156K,apple,engineering
1457,Manufacturing Engineer,"$125,201/yr",Range: $92K - $140K,apple,engineering
1458,Electrical Hardware Design Engineer,"$117,866/yr",Range: $86K - $171K,apple,engineering
1459,Apple (Genius),"$45,346/yr",Range: $36K - $50K,apple,others
1460,IS&T Technical Project Manager,"$154,433/yr",Range: $140K - $171K,apple,managerial
1461,At Home Senior Advisor,"$43,068/yr",Range: $39K - $48K,apple,others
1462,Project Coordinator,"$73,312/yr",Range: $47K - $87K,apple,others
1463,Producer,"$104,482/yr",Range: $70K - $177K,apple,others
1464,Learning Specialist,"$72,015/yr",Range: $70K - $88K,apple,others
1465,Localization Project Manager,"$98,324/yr",Range: $91K - $149K,apple,managerial
1466,Business Operations Manager,"$132,879/yr",Range: $64K - $176K,apple,managerial
1467,Senior Marketing Manager,"$166,897/yr",Range: $94K - $215K,apple,marketing
1468,Global Commodity Manager,"$136,495/yr",Range: $128K - $146K,apple,managerial
1469,Computer Support Specialist,"$60,577/yr",Range: $57K - $74K,apple,others
1470,Software Engineer Applications IV,"$148,848/yr",Range: $136K - $169K,apple,engineering
1471,Hardware Engineering Program Manager,"$158,723/yr",Range: $117K - $174K,apple,engineering
1472,Systems Design Engineer III,"$125,435/yr",Range: $110K - $147K,apple,engineering
1473,Computer Systems Analyst,"$119,055/yr",Range: $95K - $162K,apple,others
1474,Network Engineer,"$139,518/yr",Range: $110K - $151K,apple,engineering
1475,Sr. Software Engineer,"$167,365/yr",Range: $100K - $190K,apple,engineering
1476,Data Center Technician,"$73,880/yr",Range: $57K - $94K,apple,others
1477,Wireless Systems Engineer,"$139,331/yr",Range: $85K - $194K,apple,engineering
1478,Site Support Engineer,"$68,833/yr",Range: $55K - $125K,apple,engineering
1479,ASLP Associate,"$55,559/yr",Range: $50K - $65K,apple,others
1480,Technical Translator,"$107,608/yr",Range: $94K - $136K,apple,others
1481,Apple AHA,"$40,296/yr",Range: $29K - $48K,apple,others
1482,Operations Expert,"$50,697/yr",Range: $46K - $60K,apple,others
1483,Software Test Engineer,"$126,240/yr",Range: $91K - $153K,apple,engineering
1484,Individual Contributor,"$128,655/yr",Range: $78K - $187K,apple,others
1485,Optical Design Engineer,"$151,144/yr",Range: $137K - $166K,apple,engineering
1486,CAD Sculptor/Digital 3D Modeler,"$172,183/yr",Range: $131K - $200K,apple,others
1487,Senior Visual Designer,"$136,739/yr",Range: $107K - $162K,apple,others
1488,Sales Specialist,"$20,395/yr",Range: $17K - $44K,apple,sales
1489,Mac Expert,"$42,355/yr",Range: $39K - $45K,apple,others
1490,Senior Software Engineering Manager,"$210,357/yr",Range: $88K - $248K,apple,engineering
1491,Camera Module Design Engineer,"$139,040/yr",Range: $117K - $156K,apple,engineering
1492,Supply Base Engineer,"$117,489/yr",Range: $102K - $121K,apple,engineering
1493,Senior Director,"$325,381/yr",Range: $139K - $341K,apple,others
1494,GSM,"$158,091/yr",Range: $102K - $189K,apple,others
1495,Accountant,"$71,702/yr",Range: $22K - $89K,apple,others
1496,Operations Product Manager,"$144,543/yr",Range: $131K - $153K,apple,managerial
1497,IOS Technical Support Advisor,"$42,646/yr",Range: $31K - $50K,apple,others
1498,Systems Analyst,"$134,235/yr",Range: $114K - $144K,apple,others
1499,Junior Software Engineer,"$102,638/yr",Range: $83K - $123K,apple,engineering
1500,Product Quality Manager,"$127,028/yr",Range: $88K - $162K,apple,managerial
1501,Financial Analyst II,"$91,288/yr",Range: $78K - $139K,apple,others
1502,Marketing Director,"$230,254/yr",Range: $190K - $283K,apple,marketing
1503,User Experience Designer,"$122,736/yr",Range: $73K - $169K,apple,others
1504,Technical Product Manager,"$163,160/yr",Range: $108K - $184K,apple,managerial
1505,IOS Telephony QA Engineer,"$117,265/yr",Range: $102K - $134K,apple,engineering
1506,ABAP Developer,"$130,143/yr",Range: $126K - $139K,apple,engineering
1507,Senior Software Engineer/Tech Lead,"$182,306/yr",Range: $153K - $184K,apple,engineering
1508,Build and Integration Engineer,"$119,208/yr",Range: $102K - $160K,apple,engineering
1509,Camera Validation Engineer,"$142,831/yr",Range: $129K - $155K,apple,engineering
1510,Software Development Engineer II,"$101,196/yr",Range: $85K - $107K,apple,engineering
1511,Senior Web Developer,"$155,657/yr",Range: $117K - $176K,apple,engineering
1512,Software Engineering Director,"$236,891/yr",Range: $176K - $273K,apple,engineering
1513,Assistant Store Manager,"$50,076/yr",Range: $39K - $72K,walmart,managerial
1514,Assistant Manager,"$50,204/yr",Range: $41K - $67K,walmart,managerial
1515,Pharmacy Manager,"$152,370/yr",Range: $123K - $187K,walmart,managerial
1516,Pharmacist,"$140,113/yr",Range: $99K - $174K,walmart,others
1517,Assistant Manager Trainee,"$63,492/yr",Range: $27K - $81K,walmart,managerial
1518,Programmer Analyst,"$74,201/yr",Range: $44K - $98K,walmart,others
1519,ASM- Assistant Store Manager,"$50,528/yr",Range: $40K - $72K,walmart,managerial
1520,Walmart Assistant Manager,"$50,026/yr",Range: $39K - $72K,walmart,managerial
1521,Co-Manager,"$66,255/yr",Range: $37K - $90K,walmart,others
1522,Store Manager,"$100,076/yr",Range: $33K - $143K,walmart,managerial
1523,Asset Protection Manager,"$49,071/yr",Range: $34K - $79K,walmart,managerial
1524,Asset Protection In Training,"$34,454/yr",Range: $31K - $44K,walmart,others
1525,Shift Manager,"$70,077/yr",Range: $37K - $86K,walmart,managerial
1526,Senior Programmer Analyst,"$84,044/yr",Range: $70K - $99K,walmart,others
1527,Store Co-Manager,"$65,563/yr",Range: $58K - $95K,walmart,others
1528,Staff Pharmacist,"$138,387/yr",Range: $101K - $172K,walmart,others
1529,Area Manager,"$55,083/yr",Range: $40K - $80K,walmart,managerial
1530,Supercenter Co-Manager,"$66,626/yr",Range: $62K - $84K,walmart,others
1531,Non-Metro Assistant Manager,"$43,486/yr",Range: $41K - $59K,walmart,managerial
1532,Optometrist,"$124,719/yr",Range: $98K - $148K,walmart,others
1533,Senior Manager,"$105,841/yr",Range: $64K - $188K,walmart,managerial
1534,EHS Specialist Manager,"$81,289/yr",Range: $75K - $92K,walmart,managerial
1535,Manager,"$70,216/yr",Range: $28K - $219K,walmart,managerial
1536,Walmart Store Manager,"$107,834/yr",Range: $43K - $145K,walmart,managerial
1537,Co Manager,"$70,540/yr",Range: $61K - $84K,walmart,managerial
1538,Project Manager,"$73,688/yr",Range: $41K - $119K,walmart,managerial
1539,Market Manager,"$152,820/yr",Range: $97K - $211K,walmart,marketing
1540,Department Manager,"$31,690/yr",Range: $21K - $54K,walmart,managerial
1541,Senior Software Engineer,"$134,211/yr",Range: $84K - $155K,walmart,engineering
1542,Systems Analyst,"$95,375/yr",Range: $56K - $115K,walmart,others
1543,Director,"$145,533/yr",Range: $102K - $195K,walmart,others
1544,Asset Protection Manager/Assistant Store Manager,"$51,211/yr",Range: $46K - $61K,walmart,managerial
1545,Accountant,"$48,765/yr",Range: $42K - $58K,walmart,others
1546,Club Manager,"$62,080/yr",Range: $56K - $68K,walmart,managerial
1547,Sales Associate,"$24,843/yr",Range: $11K - $70K,walmart,sales
1548,Asset Protection,"$38,503/yr",Range: $35K - $41K,walmart,others
1549,Operations Manager,"$70,808/yr",Range: $43K - $104K,walmart,managerial
1550,Graduate Pharmacist,"$87,956/yr",Range: $66K - $98K,walmart,others
1551,Field Project Supervisor,"$50,467/yr",Range: $38K - $63K,walmart,others
1552,Assistant  Manager,"$54,737/yr",Range: $48K - $67K,walmart,managerial
1553,Metro Assistant Manager,"$51,803/yr",Range: $47K - $63K,walmart,managerial
1554,MECHANIC I,"$55,021/yr",Range: $51K - $61K,walmart,others
1555,Graduate Pharmacist,"$97,750/yr",Range: $49K - $102K,walmart,others
1556,Assistant Event Manager,"$54,679/yr",Range: $50K - $59K,walmart,managerial
1557,Certified Pharmacy Technician,"$30,421/yr",Range: $23K - $47K,walmart,others
1558,Senior Director,"$195,119/yr",Range: $151K - $232K,walmart,others
1559,Assistant Pharmacy Manager,"$142,132/yr",Range: $131K - $159K,walmart,managerial
1560,Logistics Area Manager,"$54,070/yr",Range: $52K - $67K,walmart,managerial
1561,Replenishment Manager,"$66,472/yr",Range: $51K - $102K,walmart,managerial
1562,Mechanic II,"$56,658/yr",Range: $53K - $61K,walmart,others
1563,Driver,"$44,639/yr",Range: $41K - $70K,walmart,others
1564,Software Engineer,"$80,442/yr",Range: $57K - $130K,walmart,engineering
1565,Assistant Retail Store Manager,"$49,900/yr",Range: $40K - $65K,walmart,managerial
1566,Area Floor Manager,"$54,412/yr",Range: $48K - $65K,walmart,managerial
1567,Customer Service Manager (CSM),"$28,856/yr",Range: $19K - $36K,walmart,managerial
1568,Department Manager- Walmart,"$32,209/yr",Range: $19K - $59K,walmart,others
1569,Software Engineer III,"$118,112/yr",Range: $83K - $138K,walmart,engineering
1570,Grocery Manager,"$64,837/yr",Range: $60K - $70K,walmart,managerial
1571,Logistics Operations Manager,"$75,117/yr",Range: $57K - $109K,walmart,managerial
1572,HR Clerk,"$37,182/yr",Range: $35K - $40K,walmart,others
1573,Assistant Store Manager Trainee,"$53,289/yr",Range: $49K - $58K,walmart,managerial
1574,ASM,"$49,822/yr",Range: $41K - $59K,walmart,others
1575,Senior Manager II,"$109,831/yr",Range: $91K - $123K,walmart,managerial
1576,Overnight Assistant Manager,"$48,767/yr",Range: $41K - $64K,walmart,managerial
1577,Programmer,"$58,322/yr",Range: $52K - $69K,walmart,others
1578,Assistant Retail Manager,"$48,738/yr",Range: $39K - $60K,walmart,managerial
1579,Maintenance Engineer,"$65,070/yr",Range: $59K - $72K,walmart,engineering
1580,Sales Associate,"$17,023/yr",Range: $11K - $35K,walmart,sales
1581,Attendant,"$26,494/yr",Range: $25K - $30K,walmart,others
1582,Field Project Supervisor/Store Planning,"$52,003/yr",Range: $38K - $61K,walmart,others
1583,Asset Protection Associate,"$32,480/yr",Range: $25K - $46K,walmart,others
1584,General Manager,"$116,611/yr",Range: $52K - $194K,walmart,managerial
1585,Senior Systems Engineer,"$98,340/yr",Range: $85K - $133K,walmart,engineering
1586,Maintenance Manager,"$56,988/yr",Range: $53K - $86K,walmart,managerial
1587,Market Asset Protection Manager,"$73,161/yr",Range: $64K - $93K,walmart,marketing
1588,Support Manager,"$32,549/yr",Range: $25K - $51K,walmart,managerial
1589,VISION CENTER MANAGER,"$47,146/yr",Range: $37K - $59K,walmart,managerial
1590,Licensed Optician Manager,"$58,270/yr",Range: $54K - $64K,walmart,managerial
1591,Associate,"$34,707/yr",Range: $19K - $61K,walmart,others
1592,Retail Store Manager,"$94,147/yr",Range: $54K - $133K,walmart,managerial
1593,IT Project Manager,"$101,134/yr",Range: $63K - $122K,walmart,it
1594,Co- Manager,"$73,574/yr",Range: $65K - $81K,walmart,managerial
1595,Club Manager In Training,"$19,930/yr",Range: $19K - $22K,walmart,managerial
1596,Auto Care Center Manager,"$51,543/yr",Range: $42K - $60K,walmart,managerial
1597,Mechanic III,"$63,802/yr",Range: $60K - $70K,walmart,others
1598,School Nurse I,"$44,047/yr",Range: $42K - $48K,walmart,others
1599,Customer Service Manager,"$27,068/yr",Range: $21K - $68K,walmart,managerial
1600,Market Human Resources Manager,"$93,445/yr",Range: $70K - $107K,walmart,marketing
1601,Human Resources Manager,"$68,640/yr",Range: $40K - $100K,walmart,managerial
1602,Staff Software Engineer,"$161,960/yr",Range: $114K - $189K,walmart,engineering
1603,Advanced Systems Engineer,"$84,537/yr",Range: $77K - $121K,walmart,engineering
1604,QA Systems Analyst Manager,"$94,989/yr",Range: $90K - $99K,walmart,managerial
1605,Project Manager II,"$73,604/yr",Range: $60K - $92K,walmart,managerial
1606,Truck Driver,"$85,923/yr",Range: $54K - $108K,walmart,others
1607,Marketing Manager,"$102,395/yr",Range: $51K - $149K,walmart,marketing
1608,Metro-Assistant Manager,"$51,978/yr",Range: $46K - $59K,walmart,managerial
1609,Supervisor,"$43,144/yr",Range: $18K - $82K,walmart,others
1610,Buyer,"$89,007/yr",Range: $73K - $136K,walmart,others
1611,Manager In Training,"$62,919/yr",Range: $59K - $73K,walmart,managerial
1612,Data Center Technician,"$92,458/yr",Range: $83K - $98K,walmart,others
1613,Quality Control,"$48,611/yr",Range: $46K - $51K,walmart,others
1614,Financial Analyst,"$60,154/yr",Range: $21K - $134K,walmart,others
1615,Guest Service Team Member - Cashier,"$22,998/yr",Range: $14K - $36K,walmart,others
1616,Associate Marketing Manager,"$110,632/yr",Range: $85K - $120K,walmart,marketing
1617,Merchandise Planner,"$70,092/yr",Range: $66K - $114K,walmart,others
1618,Senior Finance Manager,"$109,880/yr",Range: $91K - $156K,walmart,managerial
1619,Systems Engineer,"$68,510/yr",Range: $57K - $121K,walmart,engineering
1620,Overnight Stocker,"$22,382/yr",Range: $13K - $32K,walmart,others
1621,Software Engineer II,"$90,651/yr",Range: $63K - $131K,walmart,engineering
1622,Technical Expert,"$111,135/yr",Range: $96K - $167K,walmart,others
1623,Overnight Support Manager,"$30,115/yr",Range: $25K - $44K,walmart,managerial
1624,Consumables Department Manager,"$29,056/yr",Range: $22K - $38K,walmart,managerial
1625,Senior Product Manager,"$116,245/yr",Range: $88K - $160K,walmart,managerial
1626,Associate Buyer,"$64,856/yr",Range: $54K - $84K,walmart,others
1627,Software Engineer,"$139,398/yr",Range: $100K - $211K,linkedin,engineering
1628,Senior Software Engineer,"$165,106/yr",Range: $37K - $247K,linkedin,engineering
1629,Account Executive,"$73,615/yr",Range: $48K - $136K,linkedin,others
1630,Staff Software Engineer,"$195,552/yr",Range: $161K - $248K,linkedin,engineering
1631,Relationship Manager,"$81,888/yr",Range: $50K - $119K,linkedin,managerial
1632,Senior Data Scientist,"$165,929/yr",Range: $141K - $198K,linkedin,engineering
1633,Product Manager,"$150,953/yr",Range: $112K - $171K,linkedin,managerial
1634,Customer Success Manager,"$93,199/yr",Range: $70K - $113K,linkedin,managerial
1635,Web Developer,"$127,051/yr",Range: $109K - $151K,linkedin,engineering
1636,SMB Account Executive,"$64,014/yr",Range: $50K - $79K,linkedin,others
1637,Senior Product Manager,"$165,761/yr",Range: $143K - $235K,linkedin,managerial
1638,Senior Site Reliability Engineer,"$159,998/yr",Range: $143K - $194K,linkedin,engineering
1639,Site Reliability Engineer,"$135,495/yr",Range: $108K - $171K,linkedin,engineering
1640,Data Scientist,"$128,957/yr",Range: $118K - $156K,linkedin,engineering
1641,Enterprise Account Executive,"$100,047/yr",Range: $76K - $152K,linkedin,others
1642,Manager,"$145,491/yr",Range: $76K - $216K,linkedin,managerial
1643,Senior Account Executive,"$81,560/yr",Range: $75K - $151K,linkedin,others
1644,Senior User Experience Designer,"$159,204/yr",Range: $133K - $194K,linkedin,others
1645,Sales Development Representative,"$60,203/yr",Range: $48K - $76K,linkedin,sales
1646,Engineering Manager,"$213,229/yr",Range: $187K - $273K,linkedin,engineering
1647,User Experience Designer,"$127,384/yr",Range: $111K - $134K,linkedin,others
1648,Sales Development Specialist,"$46,569/yr",Range: $40K - $73K,linkedin,sales
1649,Campaign Manager,"$78,493/yr",Range: $61K - $99K,linkedin,managerial
1650,Senior Relationship Manager,"$84,075/yr",Range: $61K - $121K,linkedin,managerial
1651,Business Operations Associate,"$121,062/yr",Range: $105K - $151K,linkedin,others
1652,Associate User Experience Designer,"$119,189/yr",Range: $101K - $128K,linkedin,others
1653,Program Manager,"$131,773/yr",Range: $93K - $149K,linkedin,managerial
1654,Senior Manager,"$177,668/yr",Range: $152K - $205K,linkedin,managerial
1655,Senior Customer Success Manager,"$120,000/yr",Range: $105K - $144K,linkedin,managerial
1656,Enterprise Relationship Manager,"$104,122/yr",Range: $77K - $112K,linkedin,managerial
1657,Associate Web Developer,"$107,439/yr",Range: $91K - $129K,linkedin,engineering
1658,Software Engineering Manager,"$202,730/yr",Range: $177K - $218K,linkedin,engineering
1659,Associate Product Manager,"$119,973/yr",Range: $99K - $172K,linkedin,managerial
1660,Senior Product Marketing Manager,"$162,594/yr",Range: $141K - $178K,linkedin,marketing
1661,Marketing Manager,"$128,487/yr",Range: $108K - $146K,linkedin,marketing
1662,Account Manager,"$89,086/yr",Range: $63K - $136K,linkedin,managerial
1663,Insight Analyst,"$102,561/yr",Range: $88K - $125K,linkedin,others
1664,Principal Software Engineer,"$177,737/yr",Range: $165K - $189K,linkedin,engineering
1665,Business Operations Manager,"$162,060/yr",Range: $147K - $200K,linkedin,managerial
1666,Senior Engineering Manager,"$215,711/yr",Range: $185K - $261K,linkedin,engineering
1667,Director,"$210,272/yr",Range: $154K - $250K,linkedin,others
1668,Product Marketing Manager,"$130,171/yr",Range: $112K - $140K,linkedin,marketing
1669,Recruiter,"$93,384/yr",Range: $57K - $130K,linkedin,others
1670,Senior Staff Software Engineer,"$240,538/yr",Range: $216K - $269K,linkedin,engineering
1671,Senior Program Manager,"$145,752/yr",Range: $135K - $193K,linkedin,managerial
1672,Senior Software QA Engineer,"$158,609/yr",Range: $140K - $175K,linkedin,engineering
1673,Technical Recruiter,"$115,000/yr",Range: $93K - $140K,linkedin,others
1674,Senior Technical Program Manager,"$163,120/yr",Range: $142K - $168K,linkedin,managerial
1675,Senior UI Engineer,"$150,723/yr",Range: $120K - $159K,linkedin,engineering
1676,Solutions Consultant,"$114,135/yr",Range: $88K - $125K,linkedin,others
1677,Enterprise Support Specialist,"$58,975/yr",Range: $50K - $71K,linkedin,others
1678,Global Program Manager,"$121,038/yr",Range: $102K - $143K,linkedin,managerial
1679,Sales,"$83,775/yr",Range: $60K - $151K,linkedin,sales
